Date,Class ID,Class Name,Quantity
2024-01-01,1,Rollers,278
2024-01-01,2,Spherical Mark,54
2024-01-01,3,Rust on OD,19
2024-01-01,4,Flat Lines,22
2024-01-01,5,Damage on Radius Small End,11
2024-01-01,6,Damage on Radius Large End,8
2024-01-01,7,Damage on OD,15
2024-01-01,8,Chatter on OD,9
2024-01-01,9,Dent,14
2024-02-01,1,Rollers,135
2024-02-01,2,Spherical Mark,25
2024-02-01,3,Rust on OD,30
2024-02-01,4,Flat Lines,42
2024-02-01,5,Damage on Radius Small End,17
2024-02-01,6,Damage on Radius Large End,6
2024-02-01,7,Damage on OD,18
2024-02-01,8,Chatter on OD,13
2024-02-01,9,Dent,19
2024-03-01,1,Rollers,146
2024-03-01,2,Spherical Mark,67
2024-03-01,3,Rust on OD,26
2024-03-01,4,Flat Lines,38
2024-03-01,5,Damage on Radius Small End,22
2024-03-01,6,Damage on Radius Large End,12
2024-03-01,7,Damage on OD,20
2024-03-01,8,Chatter on OD,15
2024-03-01,9,Dent,17
2024-04-01,1,Rollers,159
2024-04-01,2,Spherical Mark,73
2024-04-01,3,Rust on OD,34
2024-04-01,4,Flat Lines,45
2024-04-01,5,Damage on Radius Small End,18
2024-04-01,6,Damage on Radius Large End,10
2024-04-01,7,Damage on OD,23
2024-04-01,8,Chatter on OD,17
2024-04-01,9,Dent,21
2024-05-01,1,Rollers,167
2024-05-01,2,Spherical Mark,82
2024-05-01,3,Rust on OD,29
2024-05-01,4,Flat Lines,48
2024-05-01,5,Damage on Radius Small End,21
2024-05-01,6,Damage on Radius Large End,15
2024-05-01,7,Damage on OD,27
2024-05-01,8,Chatter on OD,20
2024-05-01,9,Dent,23
2024-06-01,1,Rollers,174
2024-06-01,2,Spherical Mark,88
2024-06-01,3,Rust on OD,31
2024-06-01,4,Flat Lines,49
2024-06-01,5,Damage on Radius Small End,25
2024-06-01,6,Damage on Radius Large End,17
2024-06-01,7,Damage on OD,28
2024-06-01,8,Chatter on OD,22
2024-06-01,9,Dent,26
2024-07-01,1,Rollers,189
2024-07-01,2,Spherical Mark,94
2024-07-01,3,Rust on OD,38
2024-07-01,4,Flat Lines,50
2024-07-01,5,Damage on Radius Small End,27
2024-07-01,6,Damage on Radius Large End,19
2024-07-01,7,Damage on OD,31
2024-07-01,8,Chatter on OD,24
2024-07-01,9,Dent,28
2024-08-01,1,Rollers,198
2024-08-01,2,Spherical Mark,101
2024-08-01,3,Rust on OD,40
2024-08-01,4,Flat Lines,53
2024-08-01,5,Damage on Radius Small End,29
2024-08-01,6,Damage on Radius Large End,21
2024-08-01,7,Damage on OD,33
2024-08-01,8,Chatter on OD,25
2024-08-01,9,Dent,30
2024-09-01,1,Rollers,208
2024-09-01,2,Spherical Mark,109
2024-09-01,3,Rust on OD,46
2024-09-01,4,Flat Lines,56
2024-09-01,5,Damage on Radius Small End,31
2024-09-01,6,Damage on Radius Large End,23
2024-09-01,7,Damage on OD,35
2024-09-01,8,Chatter on OD,27
2024-09-01,9,Dent,32
2024-10-01,1,Rollers,217
2024-10-01,2,Spherical Mark,107
2024-10-01,3,Rust on OD,49
2024-10-01,4,Flat Lines,60
2024-10-01,5,Damage on Radius Small End,34
2024-10-01,6,Damage on Radius Large End,25
2024-10-01,7,Damage on OD,37
2024-10-01,8,Chatter on OD,29
2024-10-01,9,Dent,34
2024-11-01,1,Rollers,225
2024-11-01,2,Spherical Mark,115
2024-11-01,3,Rust on OD,52
2024-11-01,4,Flat Lines,62
2024-11-01,5,Damage on Radius Small End,37
2024-11-01,6,Damage on Radius Large End,28
2024-11-01,7,Damage on OD,40
2024-11-01,8,Chatter on OD,31
2024-11-01,9,Dent,36
2024-12-01,1,Rollers,230
2024-12-01,2,Spherical Mark,118
2024-12-01,3,Rust on OD,55
2024-12-01,4,Flat Lines,64
2024-12-01,5,Damage on Radius Small End,40
2024-12-01,6,Damage on Radius Large End,30
2024-12-01,7,Damage on OD,42
2024-12-01,8,Chatter on OD,33
2024-12-01,9,Dent,39
